"date","y"
"2022-07-04",332
"2022-07-05",5999
"2022-07-06",1035
"2022-07-07",8767
"2022-07-08",3566
"2022-07-09",1460
"2022-07-10",1071
"2022-07-11",1033
"2022-07-12",3337
"2022-07-13",4973
"2022-07-14",18099
"2022-07-15",5657
"2022-07-16",1984
"2022-07-17",0
"2022-07-18",25
"2022-07-19",10779
"2022-07-20",4110
"2022-07-21",10424
"2022-07-22",8494
"2022-07-23",1654
"2022-07-24",1278
"2022-07-25",1276
"2022-07-26",7385
"2022-07-27",3508
"2022-07-28",9996
"2022-07-29",5469
"2022-07-30",1336
"2022-07-31",944
"2022-08-01",991
"2022-08-02",5661
"2022-08-03",3162
"2022-08-04",NA
"2022-08-05",21344
"2022-08-06",1070
"2022-08-07",753
"2022-08-08",776
"2022-08-09",2021
"2022-08-10",2977
"2022-08-11",12990
"2022-08-12",4816
"2022-08-13",0
"2022-08-14",0
"2022-08-15",0
"2022-08-16",7074
"2022-08-17",2875
"2022-08-18",9180
"2022-08-19",5760
"2022-08-20",854
"2022-08-21",621
"2022-08-22",648
"2022-08-23",3572
"2022-08-24",3777
"2022-08-25",7433
"2022-08-26",3977
"2022-08-27",748
"2022-08-28",550
"2022-08-29",480
"2022-08-30",3963
"2022-08-31",2012
"2022-09-01",9420
"2022-09-02",3649
"2022-09-03",661
"2022-09-04",474
